Bank Number	Block Num	String Index	Line First Char	Portrait Id	Extracted String	
6	0	0	0	0	状态物品魔法装备记录	
6	0	1	0	0	南晶公司版权所有	
6	0	2	0	0	克 劳 德	
6	0	3	0	0	巴 雷 特	
6	0	4	0	0	蒂    花	
6	0	5	0	0	艾 丽 丝	
6	0	6	0	0	赤红十三	
6	0	7	0	0	凯    西	
6	0	8	0	0	希    德	
6	0	9	0	0	板	
6	0	10	0	0	锁	
6	0	11	0	0	皮	
6	0	12	0	0	布	
6	0	13	0	0	        	
6	0	14	0	0	耐力	
6	0	15	0	0	力量	
6	0	16	0	0	防御	
6	0	17	0	0	智力	
6	0	18	0	0	抗性	
6	0	19	0	0	敏捷	
6	0	20	0	0	*	
6	0	21	0	0	攻击单人	
6	0	22	0	0	攻击全体	
6	0	23	0	0	回复单人	
6	0	24	0	0	回复全体	
6	0	25	0	0	卸下	
6	0	26	0	0	克劳德	
6	0	27	0	0	巴雷特	
6	0	28	0	0	蒂花	
6	0	29	0	0	艾丽丝	
6	0	30	0	0	赤红十三	
6	0	31	0	0	凯西	
6	0	32	0	0	希德	
6	0	33	0	0	攻击	
6	0	34	0	0	魔法	
6	0	35	0	0	道具	
6	0	36	0	0	逃跑	
6	0	37	0	0	使用	
6	0	38	0	0	成功逃脱!	
6	0	39	0	0	没逃掉!	
6	0	40	0	0	没有效果!	
6	0	41	0	0	回复自己!	
6	0	42	0	0	回复	
6	0	43	0	0	我方全灭...	
6	0	44	0	0	Game Over!	
6	0	45	0	0	自己	
6	0	46	0	0	HP回复	
6	0	47	0	0	CP回复	
6	0	48	0	0	全体	
6	0	49	0	0	复活了	
6	0	50	0	0	敌人全灭!	
6	0	51	0	0	得到经验	
6	0	52	0	0	得到金钱	
6	0	53	0	0	等级提升了!	
6	0	54	0	0	得到	
6	0	55	0	0	买几个?	
6	0	56	0	0	卖几个?	
6	0	57	0	0	交易成功	
6	0	58	0	0	无法交易	
6	0	59	0	0	钱不够	
6	0	60	0	0	耐	
6	0	61	0	0	力	
6	0	62	0	0	防	
6	0	63	0	0	智	
6	0	64	0	0	抗	
6	0	65	0	0	敏	
6	0	66	0	0	 	
6	0	67	0	0	未装备	
6	0	68	0	0	已达最高级了!	
6	0	69	0	0	经验还不够!	
6	0	70	0	0	强化成功!	
